 X: 0.87278932 | Y: 1.09253430 | Z: 0.51345569 | accel X: 0.00560521 | accel Y: 0.00026035 | accel Z: -0.02540928
 X: 0.87544346 | Y: 1.08927488 | Z: 0.51765490 | accel X: 0.00165325 | accel Y: 0.00024825 | accel Z: -0.02337015
 X: 0.86897349 | Y: 1.09375691 | Z: 0.51900703 | accel X: -0.00022888 | accel Y: 0.00115725 | accel Z: -0.01678288
 X: 0.87514389 | Y: 1.09260869 | Z: 0.51808143 | accel X: -0.00022888 | accel Y: 0.00115725 | accel Z: -0.01678288
 X: 0.87558174 | Y: 1.08955872 | Z: 0.51935571 | accel X: 0.00431791 | accel Y: 0.00189842 | accel Z: -0.02463758
 X: 0.87729830 | Y: 1.08898485 | Z: 0.51668829 | accel X: 0.00748878 | accel Y: 0.00135380 | accel Z: -0.02079970
 X: 0.88170475 | Y: 1.08694053 | Z: 0.51572907 | accel X: 0.00134591 | accel Y: 0.00138998 | accel Z: -0.02269095
 X: 0.87605947 | Y: 1.08877289 | Z: 0.51244587 | accel X: 0.00719569 | accel Y: 0.00094716 | accel Z: -0.02863789
 X: 0.88033658 | Y: 1.08689439 | Z: 0.51905489 | accel X: 0.00375963 | accel Y: -0.00129121 | accel Z: -0.02473903
 X: 0.87841433 | Y: 1.08764803 | Z: 0.51566219 | accel X: 0.00375963 | accel Y: -0.00129121 | accel Z: -0.02473903
 X: 0.87897873 | Y: 1.09018636 | Z: 0.51561302 | accel X: 0.00490528 | accel Y: 0.00153036 | accel Z: -0.02515614
 X: 0.87978828 | Y: 1.08900130 | Z: 0.51570863 | accel X: 0.00812768 | accel Y: 0.00287478 | accel Z: -0.02193177
 X: 0.87237144 | Y: 1.09066486 | Z: 0.51744276 | accel X: 0.00121705 | accel Y: -0.00007499 | accel Z: -0.02347267
 X: 0.87931561 | Y: 1.08739400 | Z: 0.51936406 | accel X: 0.00194178 | accel Y: -0.00019285 | accel Z: -0.02055502
 X: 0.87565684 | Y: 1.08951223 | Z: 0.52039015 | accel X: 0.00666443 | accel Y: 0.00221131 | accel Z: -0.02362818
 X: 0.88209009 | Y: 1.08644199 | Z: 0.51515090 | accel X: 0.00706097 | accel Y: -0.00191640 | accel Z: -0.02148569
 X: 0.87815881 | Y: 1.09019697 | Z: 0.51157284 | accel X: 0.00706097 | accel Y: -0.00191640 | accel Z: -0.02148569
 X: 0.87189740 | Y: 1.09309196 | Z: 0.51521885 | accel X: 0.00217054 | accel Y: 0.00245546 | accel Z: -0.02576274
 X: 0.88216639 | Y: 1.08711946 | Z: 0.51298636 | accel X: 0.00401530 | accel Y: -0.00011394 | accel Z: -0.01477265
 X: 0.87400359 | Y: 1.09177721 | Z: 0.51545471 | accel X: 0.00064748 | accel Y: 0.00014928 | accel Z: -0.02193749
 X: 0.87956816 | Y: 1.08499050 | Z: 0.51886594 | accel X: 0.00202948 | accel Y: 0.00253520 | accel Z: -0.02052516
 X: 0.87603861 | Y: 1.08945155 | Z: 0.51969254 | accel X: 0.00563000 | accel Y: 0.00068938 | accel Z: -0.01994425
 X: 0.87844032 | Y: 1.08817255 | Z: 0.51684082 | accel X: 0.00563000 | accel Y: 0.00068938 | accel Z: -0.01994425
 X: 0.88418609 | Y: 1.08415949 | Z: 0.51964319 | accel X: 0.00160450 | accel Y: 0.00045131 | accel Z: -0.02573013
 X: 0.87643296 | Y: 1.09030008 | Z: 0.51496565 | accel X: 0.00652847 | accel Y: 0.00065695 | accel Z: -0.02498889
 X: 0.87780929 | Y: 1.08624697 | Z: 0.51806265 | accel X: 0.00338736 | accel Y: 0.00058727 | accel Z: -0.02168852
 X: 0.87607723 | Y: 1.09003258 | Z: 0.51483589 | accel X: 0.00356813 | accel Y: 0.00112118 | accel Z: -0.01652265
 X: 0.88312989 | Y: 1.08870578 | Z: 0.51532054 | accel X: 0.00022884 | accel Y: -0.00049868 | accel Z: -0.01968664
 X: 0.88689977 | Y: 1.08039725 | Z: 0.51809877 | accel X: 0.00243635 | accel Y: 0.00241227 | accel Z: -0.02241993
 X: 0.87945020 | Y: 1.08662415 | Z: 0.51929200 | accel X: 0.00243635 | accel Y: 0.00241227 | accel Z: -0.02241993
 X: 0.87902552 | Y: 1.08872378 | Z: 0.51723903 | accel X: 0.00438549 | accel Y: 0.00002740 | accel Z: -0.02251887
 X: 0.87002259 | Y: 1.09402096 | Z: 0.51913851 | accel X: 0.00488038 | accel Y: 0.00031139 | accel Z: -0.03085625
 X: 0.87919503 | Y: 1.08864963 | Z: 0.51435113 | accel X: 0.00474093 | accel Y: -0.00197304 | accel Z: -0.03004164
