x amp: 2.756    | y amp: 1.652    | z amp: 5.503    
x amp: 4.534    | y amp: 4.436    | z amp: 9.932    
x amp: 4.600    | y amp: 14.910   | z amp: 10.620   
x amp: 4.545    | y amp: 3.219    | z amp: 7.536    
x amp: 3.807    | y amp: 5.767    | z amp: 18.757   
x amp: 2.834    | y amp: 11.623   | z amp: 6.404    
x amp: 4.269    | y amp: 6.437    | z amp: 4.733    
x amp: 2.526    | y amp: 1.878    | z amp: 23.183   
x amp: 2.448    | y amp: 14.476   | z amp: 6.739    
x amp: 3.561    | y amp: 5.777    | z amp: 12.186   
x amp: 0.408    | y amp: 3.764    | z amp: 5.587    
x amp: 0.909    | y amp: 15.506   | z amp: 15.995   
x amp: 5.796    | y amp: 5.953    | z amp: 1.387    
x amp: 1.614    | y amp: 0.647    | z amp: 7.121    
x amp: 3.022    | y amp: 9.970    | z amp: 3.108    
x amp: 5.177    | y amp: 6.791    | z amp: 8.647    
x amp: 1.010    | y amp: 2.919    | z amp: 10.757   
x amp: 0.847    | y amp: 8.309    | z amp: 15.246   
x amp: 8.430    | y amp: 7.438    | z amp: 2.122    
x amp: 1.393    | y amp: 0.994    | z amp: 3.689    
x amp: 0.823    | y amp: 5.064    | z amp: 10.545   
x amp: 4.543    | y amp: 1.747    | z amp: 5.253    
x amp: 2.385    | y amp: 8.733    | z amp: 4.549    
x amp: 2.848    | y amp: 4.327    | z amp: 12.664   
x amp: 3.845    | y amp: 6.453    | z amp: 4.252    
x amp: 0.983    | y amp: 3.592    | z amp: 1.184    
x amp: 1.670    | y amp: 3.022    | z amp: 4.932    
x amp: 1.811    | y amp: 12.081   | z amp: 7.906    
x amp: 1.622    | y amp: 2.652    | z amp: 5.220    
x amp: 3.896    | y amp: 2.982    | z amp: 15.015   
x amp: 2.372    | y amp: 13.163   | z amp: 8.477    
x amp: 4.366    | y amp: 2.024    | z amp: 2.917    
x amp: 4.311    | y amp: 2.536    | z amp: 22.240   
x amp: 3.295    | y amp: 12.902   | z amp: 9.223    
x amp: 5.117    | y amp: 4.919    | z amp: 3.772    
x amp: 3.123    | y amp: 2.957    | z amp: 18.483   
